bus,time,powerCB,solarPowToB,gridPowToB,mainPowToB,eB
6,28,0.0,0.0,0.0,0.0,445.5
7,28,65.25941034195611,40.11740939147962,0.0,25.142000950476493,453.2198046833798
8,28,0.0,0.0,0.0,0.0,445.5
9,28,0.0,0.0,0.0,0.0,445.5
0,29,0.0,0.0,0.0,0.0,445.5
1,29,0.0,0.0,0.0,0.0,445.5
2,29,0.0,0.0,0.0,0.0,445.5
3,29,0.0,0.0,0.0,0.0,445.5
4,29,0.0,0.0,0.0,0.0,445.5
5,29,0.0,0.0,0.0,0.0,445.5
6,29,0.0,0.0,0.0,0.0,445.5
7,29,40.11740939147962,40.11740939147962,0.0,0.0,468.5557661137395
8,29,0.0,0.0,0.0,0.0,445.5
9,29,0.0,0.0,0.0,0.0,445.5
0,30,0.0,0.0,0.0,0.0,445.5
1,30,0.0,0.0,0.0,0.0,445.5
2,30,0.0,0.0,0.0,0.0,445.5
3,30,0.0,0.0,0.0,0.0,445.5
4,30,0.0,0.0,0.0,0.0,445.4999999999999
5,30,0.0,0.0,0.0,0.0,445.49999999999983
6,30,0.0,0.0,0.0,0.0,445.5
7,30,75.0,66.31215569430485,0.0,8.687844305695151,477.98335732073724
8,30,0.0,0.0,0.0,0.0,445.5
9,30,0.0,0.0,0.0,0.0,445.5
0,31,0.0,0.0,0.0,0.0,445.5
1,31,0.0,0.0,0.0,0.0,445.5
2,31,0.0,0.0,0.0,0.0,445.5
3,31,0.0,0.0,0.0,0.0,445.5
4,31,0.0,0.0,0.0,0.0,445.4999999999999
5,31,0.0,0.0,0.0,0.0,445.49999999999983
6,31,0.0,0.0,0.0,0.0,445.5
7,31,75.0,66.31215569430485,0.0,8.687844305695151,495.60835732073724
8,31,0.0,0.0,0.0,0.0,445.5
9,31,0.0,0.0,0.0,0.0,445.5
0,32,19.144427340122604,19.144427340122604,0.0,0.0,445.5
1,32,0.0,0.0,0.0,0.0,445.5
2,32,0.0,0.0,0.0,0.0,445.5
3,32,0.0,0.0,0.0,0.0,445.5
4,32,0.0,0.0,0.0,0.0,445.4999999999999
5,32,0.0,0.0,0.0,0.0,445.49999999999983
6,32,0.0,0.0,0.0,0.0,445.5
7,32,75.0,75.0,0.0,0.0,513.2333573207372
8,32,0.0,0.0,0.0,0.0,445.5
9,32,0.0,0.0,0.0,0.0,445.5
0,33,0.0,0.0,0.0,0.0,449.99894042492883
1,33,0.0,0.0,0.0,0.0,445.5
2,33,0.0,0.0,0.0,0.0,445.5000000000017
3,33,19.144427340122604,19.144427340122604,0.0,0.0,445.5
4,33,0.0,0.0,0.0,0.0,345.0999999999999
5,33,0.0,0.0,0.0,0.0,445.49999999999983
6,33,0.0,0.0,0.0,0.0,445.5000000000021
7,33,75.0,75.0,0.0,0.0,530.8583573207372
8,33,0.0,0.0,0.0,0.0,445.49999999999983
9,33,0.0,0.0,0.0,0.0,445.49999999999955
0,34,46.057551844656956,46.057551844656956,0.0,0.0,449.99894042492883
1,34,0.0,0.0,0.0,0.0,445.5
2,34,0.0,0.0,0.0,0.0,445.5000000000017
3,34,75.0,75.0,0.0,0.0,449.99894042492883
4,34,0.0,0.0,0.0,0.0,345.0999999999999
5,34,0.0,0.0,0.0,0.0,445.49999999999983
6,34,0.0,0.0,0.0,0.0,445.5000000000021
7,34,0.0,0.0,0.0,0.0,548.4833573207372
8,34,0.0,0.0,0.0,0.0,445.49999999999983
9,34,0.0,0.0,0.0,0.0,445.49999999999955
0,35,0.0,0.0,0.0,0.0,460.8224651084232
1,35,0.0,0.0,0.0,0.0,236.5
2,35,46.057551844656956,46.057551844656956,0.0,0.0,445.5000000000017
3,35,75.0,75.0,0.0,0.0,467.62394042492883
4,35,0.0,0.0,0.0,0.0,345.0999999999999
5,35,0.0,0.0,0.0,0.0,445.49999999999983
6,35,0.0,0.0,0.0,0.0,445.5000000000021
7,35,0.0,0.0,0.0,0.0,548.4833573207372
8,35,0.0,0.0,0.0,0.0,445.49999999999983
9,35,0.0,0.0,0.0,0.0,445.49999999999955
0,36,0.0,0.0,0.0,0.0,460.8224651084232
1,36,0.0,0.0,0.0,0.0,236.5
2,36,33.39708398650359,33.39708398650359,0.0,0.0,456.3235246834961
3,36,75.0,75.0,0.0,0.0,485.24894042492883
4,36,38.74402486317971,38.74402486317971,0.0,0.0,345.0999999999999
5,36,0.0,0.0,0.0,0.0,445.49999999999983
6,36,0.0,0.0,0.0,0.0,445.5000000000021
7,36,0.0,0.0,0.0,0.0,548.4833573207372
8,36,0.0,0.0,0.0,0.0,445.49999999999983
9,36,0.0,0.0,0.0,0.0,445.49999999999955
0,37,0.0,0.0,0.0,0.0,460.8224651084232
1,37,0.0,0.0,0.0,0.0,236.5
2,37,72.14110884968329,72.14110884968329,0.0,0.0,464.17183942032443
3,37,75.0,75.0,0.0,0.0,502.87394042492883
4,37,0.0,0.0,0.0,0.0,354.20484584284713
5,37,0.0,0.0,0.0,0.0,445.49999999999983
6,37,0.0,0.0,0.0,0.0,354.3000000000021
7,37,0.0,0.0,0.0,0.0,548.4833573207372
8,37,0.0,0.0,0.0,0.0,445.49999999999983
9,37,0.0,0.0,0.0,0.0,345.09999999999957
0,38,0.0,0.0,0.0,0.0,460.8224651084232
1,38,0.0,0.0,0.0,0.0,236.5
2,38,75.0,75.0,0.0,0.0,481.125
3,38,75.0,75.0,0.0,0.0,520.4989404249288
4,38,20.53302674814097,20.53302674814097,0.0,0.0,354.20484584284713
5,38,0.0,0.0,0.0,0.0,445.49999999999983
6,38,0.0,0.0,0.0,0.0,354.3000000000021
7,38,0.0,0.0,0.0,0.0,548.4833573207372
8,38,0.0,0.0,0.0,0.0,445.49999999999983
9,38,0.0,0.0,0.0,0.0,345.09999999999957
