bus,time,powerCB,gridPowToB,eB,chargerUse
1,46,0.0,0.0,268.4,0.0
2,46,0.0,0.0,413.6,0.0
3,46,0.0,0.0,198.0,0.0
4,46,0.0,0.0,321.2,0.0
5,46,0.0,0.0,387.2,0.0
0,47,0.0,0.0,360.7999999999999,0.0
1,47,0.0,0.0,268.4,0.0
2,47,0.0,0.0,413.6,0.0
3,47,0.0,0.0,198.0,0.0
4,47,0.0,0.0,321.2,0.0
5,47,0.0,0.0,387.2,0.0
0,48,0.0,0.0,360.7999999999999,0.0
1,48,0.0,0.0,268.4,0.0
2,48,0.0,0.0,413.6,0.0
3,48,0.0,0.0,198.0,0.0
4,48,0.0,0.0,321.2,0.0
5,48,0.0,0.0,387.2,0.0
0,49,0.0,0.0,360.7999999999999,0.0
1,49,0.0,0.0,268.4,0.0
2,49,0.0,0.0,413.6,0.0
3,49,0.0,0.0,198.0,0.0
4,49,0.0,0.0,321.2,0.0
5,49,0.0,0.0,387.2,0.0
0,50,0.0,0.0,360.7999999999999,0.0
1,50,0.0,0.0,268.4,0.0
2,50,0.0,0.0,413.6,0.0
3,50,0.0,0.0,198.0,0.0
4,50,0.0,0.0,321.2,0.0
5,50,0.0,0.0,387.2,0.0
0,51,0.0,0.0,360.7999999999999,0.0
1,51,0.0,0.0,268.4,0.0
2,51,0.0,0.0,413.6,0.0
3,51,0.0,0.0,198.0,0.0
4,51,0.0,0.0,321.2,0.0
5,51,0.0,0.0,387.2,0.0
0,52,0.0,0.0,360.7999999999999,0.0
1,52,0.0,0.0,268.4,0.0
2,52,0.0,0.0,413.6,0.0
3,52,0.0,0.0,198.0,0.0
4,52,0.0,0.0,321.2,0.0
5,52,0.0,0.0,387.2,0.0
0,53,0.0,0.0,360.7999999999999,0.0
1,53,0.0,0.0,268.4,0.0
2,53,0.0,0.0,413.6,0.0
3,53,0.0,0.0,198.0,0.0
4,53,0.0,0.0,321.2,0.0
5,53,0.0,0.0,387.2,0.0
0,54,0.0,0.0,360.7999999999999,0.0
1,54,0.0,0.0,268.4,0.0
2,54,0.0,0.0,413.6,0.0
3,54,0.0,0.0,198.0,0.0
4,54,0.0,0.0,321.2,0.0
5,54,0.0,0.0,387.2,0.0
0,55,0.0,0.0,360.7999999999999,0.0
1,55,0.0,0.0,268.4,0.0
2,55,0.0,0.0,413.6,0.0
3,55,0.0,0.0,198.0,0.0
4,55,0.0,0.0,321.2,0.0
5,55,0.0,0.0,387.2,0.0
0,56,0.0,0.0,360.7999999999999,0.0
1,56,0.0,0.0,268.4,0.0
2,56,0.0,0.0,413.6,0.0
3,56,0.0,0.0,198.0,0.0
4,56,0.0,0.0,321.2,0.0
5,56,0.0,0.0,387.2,0.0
0,57,0.0,0.0,360.7999999999999,0.0
1,57,0.0,0.0,268.4,0.0
2,57,0.0,0.0,413.6,0.0
3,57,0.0,0.0,198.0,0.0
4,57,0.0,0.0,321.2,0.0
5,57,0.0,0.0,387.2,0.0
0,58,0.0,0.0,360.7999999999999,0.0
1,58,0.0,0.0,268.4,0.0
2,58,0.0,0.0,413.6,0.0
3,58,0.0,0.0,198.0,0.0
4,58,0.0,0.0,321.2,0.0
5,58,0.0,0.0,387.2,0.0
0,59,0.0,0.0,360.7999999999999,0.0
1,59,0.0,0.0,268.4,0.0
2,59,0.0,0.0,413.6,0.0
3,59,0.0,0.0,198.0,0.0
4,59,0.0,0.0,321.2,0.0
5,59,0.0,0.0,387.2,0.0
0,60,0.0,0.0,360.7999999999999,0.0
1,60,0.0,0.0,268.4,0.0
2,60,0.0,0.0,413.6,0.0
3,60,0.0,0.0,198.0,0.0
4,60,0.0,0.0,321.2,0.0
5,60,0.0,0.0,387.2,0.0
0,61,0.0,0.0,360.7999999999999,0.0
1,61,0.0,0.0,268.4,0.0
2,61,0.0,0.0,413.6,0.0
3,61,0.0,0.0,198.0,0.0
4,61,0.0,0.0,321.2,0.0
5,61,0.0,0.0,387.2,0.0
0,62,0.0,0.0,360.7999999999999,0.0
1,62,0.0,0.0,268.4,0.0
2,62,0.0,0.0,413.6,0.0
3,62,0.0,0.0,198.0,0.0
4,62,0.0,0.0,321.2,0.0
5,62,0.0,0.0,387.2,0.0
0,63,0.0,0.0,360.7999999999999,0.0
1,63,0.0,0.0,268.4,0.0
2,63,0.0,0.0,413.6,0.0
3,63,0.0,0.0,198.0,0.0
4,63,0.0,0.0,321.2,0.0
5,63,0.0,0.0,387.2,0.0
0,64,0.0,0.0,360.7999999999999,0.0
1,64,0.0,0.0,268.4,0.0
2,64,0.0,0.0,413.6,0.0
3,64,0.0,0.0,198.0,0.0
4,64,0.0,0.0,321.2,0.0
5,64,0.0,0.0,387.2,0.0
0,65,0.0,0.0,360.7999999999999,0.0
1,65,0.0,0.0,268.4,0.0
2,65,0.0,0.0,413.6,0.0
3,65,0.0,0.0,198.0,0.0
4,65,0.0,0.0,321.2,0.0
5,65,0.0,0.0,387.2,0.0
0,66,0.0,0.0,360.7999999999999,0.0
1,66,0.0,0.0,268.4,0.0
2,66,0.0,0.0,413.6,0.0
3,66,0.0,0.0,198.0,0.0
4,66,0.0,0.0,321.2,0.0
5,66,0.0,0.0,387.2,0.0
0,67,0.0,0.0,360.7999999999999,0.0
1,67,0.0,0.0,268.4,0.0
2,67,0.0,0.0,413.6,0.0
3,67,0.0,0.0,198.0,0.0
4,67,0.0,0.0,321.2,0.0
5,67,0.0,0.0,387.2,0.0
0,68,0.0,0.0,360.7999999999999,0.0
1,68,0.0,0.0,268.4,0.0
2,68,0.0,0.0,413.6,0.0
3,68,0.0,0.0,198.0,0.0
4,68,0.0,0.0,321.2,0.0
5,68,0.0,0.0,387.2,0.0
0,69,0.0,0.0,360.7999999999999,0.0
1,69,0.0,0.0,268.4,0.0
2,69,0.0,0.0,413.6,0.0
3,69,0.0,0.0,198.0,0.0
4,69,0.0,0.0,321.2,0.0
5,69,0.0,0.0,387.2,0.0
0,70,0.0,0.0,360.7999999999999,0.0
1,70,0.0,0.0,268.4,0.0
2,70,0.0,0.0,413.6,0.0
3,70,0.0,0.0,198.0,0.0
4,70,0.0,0.0,321.2,0.0
5,70,0.0,0.0,387.2,0.0
0,71,0.0,0.0,360.7999999999999,0.0
1,71,0.0,0.0,268.4,0.0
2,71,0.0,0.0,413.6,0.0
3,71,0.0,0.0,198.0,0.0
4,71,0.0,0.0,321.2,0.0
5,71,0.0,0.0,387.2,0.0
0,72,0.0,0.0,360.7999999999999,0.0
1,72,0.0,0.0,268.4,0.0
2,72,0.0,0.0,413.6,0.0
3,72,0.0,0.0,198.0,0.0
4,72,0.0,0.0,321.2,0.0
5,72,0.0,0.0,387.2,0.0
0,73,0.0,0.0,360.7999999999999,0.0
1,73,0.0,0.0,268.4,0.0
2,73,0.0,0.0,413.6,0.0
3,73,0.0,0.0,198.0,0.0
4,73,0.0,0.0,321.2,0.0
5,73,0.0,0.0,387.2,0.0
0,74,0.0,0.0,360.7999999999999,0.0
1,74,0.0,0.0,268.4,0.0
2,74,0.0,0.0,413.6,0.0
3,74,0.0,0.0,198.0,0.0
4,74,0.0,0.0,321.2,0.0
5,74,0.0,0.0,387.2,0.0
0,75,0.0,0.0,360.7999999999999,0.0
1,75,0.0,0.0,268.4,0.0
2,75,0.0,0.0,413.6,0.0
3,75,0.0,0.0,198.0,0.0
4,75,0.0,0.0,321.2,0.0
5,75,0.0,0.0,387.2,0.0
0,76,0.0,0.0,360.7999999999999,0.0
1,76,0.0,0.0,268.4,0.0
2,76,0.0,0.0,413.6,0.0
3,76,0.0,0.0,198.0,0.0
4,76,0.0,0.0,321.2,0.0
5,76,0.0,0.0,387.2,0.0
0,77,0.0,0.0,360.7999999999999,0.0
1,77,0.0,0.0,268.4,0.0
2,77,0.0,0.0,413.6,0.0
3,77,0.0,0.0,198.0,0.0
4,77,0.0,0.0,321.2,0.0
5,77,0.0,0.0,387.2,0.0
0,78,0.0,0.0,360.7999999999999,0.0
1,78,0.0,0.0,268.4,0.0
2,78,0.0,0.0,413.6,0.0
3,78,0.0,0.0,198.0,0.0
4,78,0.0,0.0,321.2,0.0
5,78,0.0,0.0,387.2,0.0
0,79,0.0,0.0,360.7999999999999,0.0
1,79,0.0,0.0,268.4,0.0
2,79,0.0,0.0,413.6,0.0
3,79,0.0,0.0,198.0,0.0
4,79,0.0,0.0,321.2,0.0
5,79,0.0,0.0,387.2,0.0
0,80,0.0,0.0,360.7999999999999,0.0
1,80,0.0,0.0,268.4,0.0
2,80,0.0,0.0,413.6,0.0
3,80,0.0,0.0,198.0,0.0
4,80,0.0,0.0,321.2,0.0
5,80,0.0,0.0,387.2,0.0
0,81,0.0,0.0,360.7999999999999,0.0
1,81,0.0,0.0,268.4,0.0
2,81,0.0,0.0,413.6,0.0
3,81,0.0,0.0,198.0,0.0
4,81,0.0,0.0,321.2,0.0
5,81,0.0,0.0,387.2,0.0
0,82,0.0,0.0,360.7999999999999,0.0
1,82,0.0,0.0,268.4,0.0
2,82,0.0,0.0,413.6,0.0
3,82,0.0,0.0,198.0,0.0
4,82,0.0,0.0,321.2,0.0
5,82,0.0,0.0,387.2,0.0
0,83,0.0,0.0,360.7999999999999,0.0
1,83,0.0,0.0,268.4,0.0
2,83,0.0,0.0,413.6,0.0
3,83,0.0,0.0,198.0,0.0
4,83,0.0,0.0,321.2,0.0
5,83,0.0,0.0,387.2,0.0
0,84,0.0,0.0,360.7999999999999,0.0
1,84,0.0,0.0,268.4,0.0
2,84,0.0,0.0,413.6,0.0
3,84,0.0,0.0,198.0,0.0
4,84,0.0,0.0,321.2,0.0
5,84,0.0,0.0,387.2,0.0
0,85,0.0,0.0,360.7999999999999,0.0
1,85,0.0,0.0,268.4,0.0
2,85,0.0,0.0,413.6,0.0
3,85,0.0,0.0,198.0,0.0
4,85,0.0,0.0,321.2,0.0
5,85,0.0,0.0,387.2,0.0
0,86,0.0,0.0,360.7999999999999,0.0
1,86,0.0,0.0,268.4,0.0
2,86,0.0,0.0,413.6,0.0
3,86,0.0,0.0,198.0,0.0
4,86,0.0,0.0,321.2,0.0
5,86,0.0,0.0,387.2,0.0
0,87,0.0,0.0,360.7999999999999,0.0
1,87,0.0,0.0,268.4,0.0
2,87,0.0,0.0,413.6,0.0
3,87,0.0,0.0,198.0,0.0
4,87,0.0,0.0,321.2,0.0
5,87,0.0,0.0,387.2,0.0
0,88,0.0,0.0,360.7999999999999,0.0
1,88,0.0,0.0,268.4,0.0
2,88,0.0,0.0,413.6,0.0
3,88,0.0,0.0,198.0,0.0
4,88,0.0,0.0,321.2,0.0
5,88,0.0,0.0,387.2,0.0
0,89,0.0,0.0,360.7999999999999,0.0
1,89,0.0,0.0,268.4,0.0
2,89,0.0,0.0,413.6,0.0
3,89,0.0,0.0,198.0,0.0
4,89,0.0,0.0,321.2,0.0
5,89,0.0,0.0,387.2,0.0
0,90,0.0,0.0,360.7999999999999,0.0
1,90,0.0,0.0,268.4,0.0
2,90,0.0,0.0,413.6,0.0
3,90,0.0,0.0,198.0,0.0
4,90,0.0,0.0,321.2,0.0
5,90,0.0,0.0,387.2,0.0
0,91,0.0,0.0,360.7999999999999,0.0
1,91,0.0,0.0,268.4,0.0
2,91,0.0,0.0,413.6,0.0
3,91,0.0,0.0,198.0,0.0
4,91,0.0,0.0,321.2,0.0
5,91,0.0,0.0,387.2,0.0
0,92,0.0,0.0,360.7999999999999,0.0
1,92,0.0,0.0,268.4,0.0
2,92,0.0,0.0,413.6,0.0
3,92,0.0,0.0,198.0,0.0
4,92,0.0,0.0,321.2,0.0
5,92,0.0,0.0,387.2,0.0
0,93,0.0,0.0,360.7999999999999,0.0
1,93,0.0,0.0,268.4,0.0
2,93,0.0,0.0,413.6,0.0
3,93,0.0,0.0,198.0,0.0
4,93,0.0,0.0,321.2,0.0
5,93,0.0,0.0,387.2,0.0
0,94,0.0,0.0,360.7999999999999,0.0
1,94,0.0,0.0,268.4,0.0
2,94,0.0,0.0,413.6,0.0
3,94,0.0,0.0,198.0,0.0
4,94,0.0,0.0,321.2,0.0
5,94,0.0,0.0,387.2,0.0
0,95,0.0,0.0,360.7999999999999,0.0
1,95,0.0,0.0,268.4,0.0
2,95,0.0,0.0,413.6,0.0
3,95,0.0,0.0,198.0,0.0
4,95,0.0,0.0,321.2,0.0
5,95,0.0,0.0,387.2,0.0
0,96,0.0,0.0,360.7999999999999,0.0
1,96,0.0,0.0,268.4,0.0
2,96,0.0,0.0,413.6,0.0
3,96,0.0,0.0,198.0,0.0
4,96,0.0,0.0,321.2,0.0
5,96,0.0,0.0,387.2,0.0
0,97,0.0,0.0,360.7999999999999,0.0
1,97,0.0,0.0,268.4,0.0
2,97,0.0,0.0,413.6,0.0
3,97,0.0,0.0,198.0,0.0
4,97,0.0,0.0,321.2,0.0
5,97,0.0,0.0,387.2,0.0
0,98,0.0,0.0,360.7999999999999,0.0
1,98,0.0,0.0,268.4,0.0
2,98,0.0,0.0,413.6,0.0
3,98,0.0,0.0,198.0,0.0
4,98,0.0,0.0,321.2,0.0
5,98,0.0,0.0,387.2,0.0
0,99,0.0,0.0,360.7999999999999,0.0
1,99,0.0,0.0,268.4,0.0
2,99,0.0,0.0,413.6,0.0
3,99,0.0,0.0,198.0,0.0
4,99,0.0,0.0,321.2,0.0
5,99,0.0,0.0,387.2,0.0
0,100,0.0,0.0,360.7999999999999,0.0
1,100,0.0,0.0,268.4,0.0
2,100,0.0,0.0,413.6,0.0
3,100,0.0,0.0,198.0,0.0
4,100,0.0,0.0,321.2,0.0
5,100,0.0,0.0,387.2,0.0
0,101,0.0,0.0,360.7999999999999,0.0
1,101,0.0,0.0,268.4,0.0
2,101,0.0,0.0,413.6,0.0
3,101,0.0,0.0,198.0,0.0
4,101,0.0,0.0,321.2,0.0
5,101,0.0,0.0,387.2,0.0
0,102,0.0,0.0,360.7999999999999,0.0
1,102,0.0,0.0,268.4,0.0
2,102,0.0,0.0,413.6,0.0
3,102,0.0,0.0,198.0,0.0
4,102,0.0,0.0,321.2,0.0
5,102,0.0,0.0,387.2,0.0
0,103,0.0,0.0,360.7999999999999,0.0
1,103,0.0,0.0,268.4,0.0
2,103,0.0,0.0,413.6,0.0
3,103,0.0,0.0,198.0,0.0
4,103,0.0,0.0,321.2,0.0
5,103,0.0,0.0,387.2,0.0
0,104,0.0,0.0,360.7999999999999,0.0
1,104,0.0,0.0,268.4,0.0
2,104,0.0,0.0,413.6,0.0
3,104,0.0,0.0,198.0,0.0
4,104,0.0,0.0,321.2,0.0
5,104,0.0,0.0,387.2,0.0
0,105,0.0,0.0,360.7999999999999,0.0
1,105,0.0,0.0,268.4,0.0
2,105,0.0,0.0,413.6,0.0
3,105,0.0,0.0,198.0,0.0
4,105,0.0,0.0,321.2,0.0
5,105,0.0,0.0,387.2,0.0
0,106,0.0,0.0,360.7999999999999,0.0
1,106,0.0,0.0,268.4,0.0
2,106,0.0,0.0,413.6,0.0
3,106,0.0,0.0,198.0,0.0
4,106,0.0,0.0,321.2,0.0
5,106,0.0,0.0,387.2,0.0
0,107,0.0,0.0,360.7999999999999,0.0
1,107,0.0,0.0,268.4,0.0
2,107,0.0,0.0,413.6,0.0
3,107,0.0,0.0,198.0,0.0
4,107,0.0,0.0,321.2,0.0
5,107,0.0,0.0,387.2,0.0
0,108,22.800000000000185,24.25531914893637,360.7999999999999,1.0
1,108,0.0,0.0,268.4,0.0
2,108,0.0,0.0,413.6,0.0
3,108,49.0,52.12765957446809,198.0,1.0
4,108,49.0,52.12765957446809,321.2,1.0
5,108,-0.0,0.0,387.2,-0.0
0,109,49.0,52.12765957446809,366.5,1.0
1,109,0.0,0.0,268.4,0.0
2,109,-0.0,0.0,413.6,0.0
3,109,49.0,52.12765957446809,210.25,1.0
4,109,49.0,52.12765957446809,333.45,1.0
5,109,-0.0,0.0,387.2,0.0
0,110,49.0,52.12765957446809,378.75,1.0
1,110,0.0,0.0,268.4,0.0
2,110,0.0,0.0,413.6,0.0
3,110,49.0,52.12765957446809,222.5,1.0
4,110,49.0,52.12765957446809,345.7,1.0
5,110,-0.0,0.0,387.2,-0.0
0,111,49.0,52.12765957446809,391.0,1.0
1,111,0.0,0.0,268.4,0.0
2,111,0.0,0.0,413.6,0.0
3,111,49.0,52.12765957446809,234.75,1.0
4,111,49.0,52.12765957446809,357.95,1.0
5,111,-0.0,0.0,387.2,-0.0
0,112,49.0,52.12765957446809,403.25,1.0
1,112,0.0,0.0,268.4,0.0
2,112,-0.0,0.0,413.6,0.0
3,112,49.0,52.12765957446809,247.0,1.0
4,112,49.0,52.12765957446809,370.2,1.0
5,112,-0.0,0.0,387.2,0.0
0,113,49.0,52.12765957446809,415.5,1.0
1,113,0.0,0.0,268.4,0.0
2,113,0.0,0.0,413.6,0.0
3,113,36.81429391545532,39.16414246325034,259.25,1.0
4,113,0.0,0.0,382.45,0.0
5,113,-0.0,0.0,387.2,-0.0
0,114,49.0,52.12765957446809,427.75,1.0
1,114,0.0,0.0,268.4,0.0
2,114,0.0,0.0,413.6,0.0
3,114,49.0,52.12765957446809,268.45357347886386,1.0
4,114,0.0,0.0,382.45,0.0
5,114,-0.0,0.0,387.2,0.0
0,115,0.0,0.0,440.0,0.0
1,115,0.0,0.0,268.4,0.0
2,115,-0.0,0.0,413.59999999999985,0.0
3,115,49.0,52.12765957446809,280.70357347886386,1.0
4,115,0.0,0.0,382.45,0.0
5,115,-0.0,0.0,387.2,-0.0
0,116,0.0,0.0,440.0,0.0
1,116,0.0,0.0,268.4,0.0
2,116,-0.0,0.0,413.59999999999985,0.0
3,116,49.0,52.12765957446809,292.95357347886386,1.0
4,116,0.0,0.0,382.45,0.0
5,116,0.0,0.0,387.2,-0.0
0,117,0.0,0.0,440.0,0.0
1,117,0.0,0.0,268.4,0.0
2,117,0.0,0.0,413.59999999999985,0.0
3,117,49.0,52.12765957446809,305.20357347886386,1.0
4,117,0.0,0.0,382.45,0.0
5,117,-0.0,0.0,387.2,0.0
0,118,0.0,0.0,440.0,0.0
1,118,0.0,0.0,268.4,0.0
2,118,0.0,0.0,413.59999999999985,0.0
3,118,49.0,52.12765957446809,317.45357347886386,1.0
4,118,0.0,0.0,382.45,0.0
5,118,-0.0,0.0,387.2,0.0
0,119,0.0,0.0,440.0,0.0
1,119,0.0,0.0,268.4,0.0
2,119,0.0,0.0,413.59999999999985,0.0
3,119,49.0,52.12765957446809,329.70357347886386,1.0
4,119,0.0,0.0,382.45,0.0
5,119,-0.0,0.0,387.2,0.0
0,120,0.0,0.0,440.0,0.0
1,120,0.0,0.0,268.4,0.0
2,120,0.0,0.0,413.59999999999985,0.0
3,120,49.0,52.12765957446809,341.95357347886386,1.0
4,120,0.0,0.0,382.45,0.0
5,120,0.0,0.0,387.2,0.0
0,121,0.0,0.0,440.0,0.0
1,121,0.0,0.0,268.4,0.0
2,121,0.0,0.0,413.59999999999985,0.0
3,121,49.0,52.12765957446809,354.20357347886386,1.0
4,121,0.0,0.0,382.45,0.0
5,121,0.0,0.0,387.2,0.0
0,122,0.0,0.0,440.0,0.0
1,122,0.0,0.0,268.4,0.0
2,122,0.0,0.0,413.59999999999985,0.0
3,122,49.0,52.12765957446809,366.45357347886386,1.0
4,122,0.0,0.0,382.45,0.0
5,122,0.0,0.0,387.2,0.0
